id,name,slug,website,description,status,lastVerified,createdAt,updatedAt,source,confidence,tier,category,priority,marketShare,targetMarket,industryFocus,vendorScore_productMaturity,vendorScore_companyStability,vendorScore_marketAdoption,vendorScore_total,productScore_features,productScore_usability,productScore_accuracy,productScore_total,overallScore,pricing_model,pricing_freeTier_minutes,pricing_freeTier_hours,pricing_payPerUse_aiPerMinute,pricing_payPerUse_humanPerMinute,pricing_payPerUse_perHour,capabilities_languages,capabilities_supportedFormats,capabilities_realTimeProcessing,capabilities_speakerIdentification,capabilities_aiSummaries,capabilities_teamCollaboration,capabilities_apiIntegration,capabilities_sdkAvailable,capabilities_webhookSupport,capabilities_customVocabulary,capabilities_batchProcessing,capabilities_liveStreaming,useCases,bestFor,integrations_platforms,integrations_cms,integrations_socialMedia,integrations_analytics,marketPosition_tier,marketPosition_priceRange,marketPosition_targetAudience,marketPosition_competitiveAdvantage,marketPosition_marketSegment,partnerships_hasAffiliateProgram,partnerships_affiliatePlatform,partnerships_commissionRange,partnerships_referralRewards,partnerships_partnerType,partnerships_applicationProcess,partnerships_notes
rev-001,Rev,rev,https://rev.com,Professional transcription service with human editors,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,95,premium,selected,1,leader,professional,general,5,5,5,15,5,4,5,14,29,pay-per-use,0,0,0.25,1.50,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,false,false,true,false,false,"High-accuracy transcription,Professional use,Multiple languages","High-accuracy transcription,Professional use,Multiple languages","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",premium,"$0.25-$1.50 per minute","Professionals requiring high-accuracy transcription","Human transcription option,Multiple languages,Professional accuracy","Professional transcription",true,Publisher Program,"$20-$40 per referral","$20-$40 per referral",affiliate,"In-house partner program","Publisher affiliate program offering $20–$40 per referral"
otter-001,Otter.ai,otter-ai,https://otter.ai,AI-powered meeting transcription and note-taking,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,90,premium,selected,2,leader,enterprise,technology,5,5,5,15,5,5,5,15,30,subscription,300,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",true,true,true,true,true,true,true,true,true,true,"Meeting transcription,Real-time collaboration,Speaker identification","Meeting transcription,Real-time collaboration,Speaker identification","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"Free to $30/user/month","Teams and businesses needing meeting transcription","Real-time collaboration,Seamless integration,Generous free tier","Team collaboration and business transcription",true,Impact,"15%-60% commission","Minutes or Pro Lite access",affiliate,"Via Impact platform","Referral rewards (minutes or Pro Lite access); affiliate commissions 15%–60%; via Impact"
sonix-001,Sonix,sonix,https://sonix.ai,Automated transcription with speaker identification,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,88,mid-tier,selected,3,challenger,professional,media,5,5,4,14,5,4,4,13,27,hybrid,0,0,0,0,10,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,true,false,true,true,true,true,true,false,"Multilingual transcription,Advanced editing,API integration","Multilingual transcription,Advanced editing,API integration","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",premium,"$10/hour + $22/month subscription","Global businesses and developers","40+ languages,Developer-friendly API,Advanced editing tools","Multilingual and API-focused solution",true,Direct,"10%-33% of first-year revenue","Free minutes",affiliate,"Simple application","Affiliate earns 10–33% of first-year revenue; simple application; referral rewards of free minutes"
trint-001,Trint,trint,https://trint.com,AI transcription with collaborative editing tools,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,85,mid-tier,selected,4,challenger,professional,media,5,5,4,14,5,4,4,13,27,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,true,true,true,true,true,true,false,"Collaborative editing,Media professionals,Agencies","Collaborative editing,Media professionals,Agencies","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",premium,"$60-$75/month","Media professionals,Agencies,Enterprises","Team-based workflows,Media industry specialization,Enterprise-grade permissions","Professional collaboration and media industry focus",true,Direct,"Partner/Reseller","Referral and co-seller models",reseller,"Partner and reseller programs","Offers reseller and referral partner programs; introduction or enterprise-level co-seller models"
descript-001,Descript,descript,https://descript.com,Audio and video editing with transcription,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,92,premium,selected,5,leader,professional,media,4,4,4,12,5,5,4,14,26,subscription,60,1,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,true,false,true,true,true,true,true,false,"Content creation,Video editing,Podcast production","Content creation,Video editing,Podcast production","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"Free to $30/month","Content creators,Podcasters,Video producers","Integrated transcription and editing,AI voice synthesis,Content creator optimization","Content creation and editing workflow",true,PartnerStack,"Recurring commissions","Recurring commissions on referrals",affiliate,"Via PartnerStack","Affiliate program via PartnerStack, offers recurring commissions and streamlined application"
fireflies-001,Fireflies.ai,fireflies-ai,https://fireflies.ai,Meeting transcription with AI insights,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,87,mid-tier,recommended,6,challenger,enterprise,technology,4,4,4,12,4,4,4,12,24,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",true,true,true,true,true,true,true,true,true,true,"Meeting transcription,AI insights,Action items","Meeting transcription,AI insights,Action items","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Enterprises needing meeting insights","Meeting transcription with action items,AI-powered insights","Meeting transcription and insights",true,Direct,"16% commission","Commission on referrals",affiliate,"Direct application","Meeting transcription with AI insights and action items"
temi-001,Temi,temi,https://temi.com,AI transcription with human review options,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,83,entry-level,recommended,7,niche,consumer,general,3,3,3,9,3,3,3,9,18,pay-per-use,0,0,0.25,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Fast transcription,Basic needs,Cost-effective","Fast transcription,Basic needs,Cost-effective","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$0.25/minute","Consumers needing fast transcription","Fast automated transcription,Low cost","Fast automated transcription",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
happy-scribe-001,Happy Scribe,happy-scribe,https://happyscribe.co,Multilingual transcription and subtitling,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,86,mid-tier,recommended,8,niche,professional,media,4,4,3,11,4,4,4,12,23,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"Multilingual transcription,Subtitling,Media production","Multilingual transcription,Subtitling,Media production","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Media professionals,Content creators","Multilingual support,Subtitle generation,Media focus","Multilingual transcription and media production",true,Direct,"14% commission","Commission on referrals",affiliate,"Direct application","Multilingual support and subtitle generation"
speak-ai-001,Speak Ai,speak-ai,https://speak.ai,AI-powered transcription and analysis,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,84,mid-tier,recommended,9,emerging,professional,technology,3,3,3,9,4,4,3,11,20,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,true,false,true,true,true,true,true,false,"AI transcription,Content analysis,Research","AI transcription,Content analysis,Research","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Researchers,Content analysts","AI-powered analysis,Research focus,Content insights","AI transcription and analysis",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
beey-io-001,Beey.io,beey-io,https://beey.io,Automated transcription for media production,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,82,entry-level,recommended,10,niche,professional,media,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Media production,European market,Competitive pricing","Media production,European market,Competitive pricing","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$10-$40/month","European market,Media producers","European market focus,Competitive pricing","European market focus with competitive pricing",true,Direct,"13% commission","Commission on referrals",affiliate,"Direct application","European market focus with competitive pricing"
fathom-001,Fathom,fathom,https://fathom.ai,Meeting transcription with action items,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,85,mid-tier,recommended,11,emerging,enterprise,technology,4,4,3,11,4,4,3,11,22,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",true,true,true,true,true,true,true,true,true,true,"Meeting transcription,Action items,Enterprise","Meeting transcription,Action items,Enterprise","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Enterprises needing meeting insights","Meeting transcription with action items,Enterprise focus","Meeting transcription with action items",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
alice-001,Alice,alice,https://alice.ai,AI transcription with smart editing,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,81,entry-level,alternative,12,emerging,consumer,general,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Fast transcription,Journalists,Creators","Fast transcription,Journalists,Creators","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$10-$30/month","Journalists,Content creators","Fast transcription,Smart editing,Creator focus","Fast transcription for journalists and creators",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
google-recorder-001,Google Recorder,google-recorder,https://recorder.google.com,Free transcription with Google AI,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,89,entry-level,alternative,13,leader,consumer,technology,5,5,5,15,3,3,4,10,25,free,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Free transcription,Android users,Basic needs","Free transcription,Android users,Basic needs","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"Free","Android users,Basic transcription needs","Free transcription,Google AI,Android integration","Free transcription with Google AI",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
turboscribe-001,TurboScribe,turboscribe,https://turboscribe.ai,Fast AI transcription service,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,80,entry-level,alternative,14,niche,consumer,general,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Fast transcription,Web-based,Basic needs","Fast transcription,Web-based,Basic needs","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$10-$30/month","Basic transcription needs","Fast transcription,Web-based,Basic features","Fast web-based transcription service",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
vomo-ai-001,VOMO.ai,vomo-ai,https://vomo.ai,AI transcription with video editing,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,83,mid-tier,alternative,15,emerging,professional,media,3,3,3,9,4,4,3,11,20,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"Video editing,AI transcription,Media production","Video editing,AI transcription,Media production","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Video editors,Media producers","AI transcription with video editing,Media production focus","AI transcription with video editing",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
scripsy-ai-001,Scripsy AI,scripsy-ai,https://scripsy.ai,Specialized legal transcription,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,86,mid-tier,alternative,16,niche,professional,legal,4,4,3,11,4,4,4,12,23,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,false,false,false,false,false,false,"Legal transcription,Specialized,Professional","Legal transcription,Specialized,Professional","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$20-$80/month","Legal professionals,Law firms","Legal transcription specialization,Professional accuracy","Specialized legal transcription",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
transkriptor-001,Transkriptor,transkriptor,https://transkriptor.com,Multilingual transcription platform,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,79,entry-level,alternative,17,niche,consumer,general,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Multilingual transcription,100+ languages,Basic needs","Multilingual transcription,100+ languages,Basic needs","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$10-$40/month","Multilingual needs,Basic transcription","100+ language support,Multilingual focus","Multilingual transcription platform",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
transcribeme-001,TranscribeMe,transcribeme,https://transcribeme.com,Human transcription with AI assistance,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,88,mid-tier,alternative,18,challenger,professional,general,4,4,4,12,4,4,4,12,24,hybrid,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"Human transcription,AI assistance,Professional","Human transcription,AI assistance,Professional","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Professionals needing accuracy","Human transcription option,AI assistance,Professional quality","Human transcription with AI assistance",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
verbit-001,Verbit,verbit,https://verbit.ai,AI transcription with human verification,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,87,premium,alternative,19,challenger,enterprise,general,4,4,4,12,4,4,4,12,24,enterprise,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"Enterprise transcription,Human verification,High accuracy","Enterprise transcription,Human verification,High accuracy","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",premium,"$50-$200/month","Enterprises needing accuracy","AI transcription with human verification,Enterprise focus","AI transcription with human verification",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
scribie-001,Scribie,scribie,https://scribie.com,Budget-friendly transcription service,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,78,entry-level,alternative,20,niche,consumer,general,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Budget-friendly,Basic transcription,Cost-effective","Budget-friendly,Basic transcription,Cost-effective","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$5-$25/month","Budget-conscious users","Budget-friendly pricing,Basic features,Cost-effective","Budget-friendly transcription service",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
nova-ai-001,Nova A.I.,nova-ai,https://nova.ai,AI transcription with advanced features,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,82,mid-tier,alternative,21,emerging,professional,technology,3,3,3,9,4,4,3,11,20,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"Advanced features,AI transcription,Professional","Advanced features,AI transcription,Professional","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Professionals needing features","Advanced AI features,Professional tools,Technology focus","AI transcription with advanced features",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
glasp-001,Glasp,glasp,https://glasp.co,Transcription with knowledge management,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,80,entry-level,alternative,22,emerging,consumer,technology,3,3,3,9,3,3,3,9,18,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,false,false,false,false,false,false,false,false,false,"Knowledge management,Web highlighting,Annotation","Knowledge management,Web highlighting,Annotation","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",entry-level,"$10-$30/month","Researchers,Students","Knowledge management,Web highlighting,Annotation tools","Transcription with knowledge management",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
looppanel-001,Looppanel,looppanel,https://looppanel.com,User research transcription and analysis,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,84,mid-tier,alternative,23,niche,professional,technology,4,4,3,11,4,4,3,11,22,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",false,true,false,false,true,true,true,true,true,false,"User research,Interview transcription,Analysis","User research,Interview transcription,Analysis","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$20-$80/month","User researchers,UX professionals","User research focus,Interview transcription,Analysis tools","User research transcription and analysis",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
dialpad-001,Dialpad,dialpad,https://dialpad.com,Communication platform with transcription,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,86,premium,alternative,24,challenger,enterprise,technology,4,4,4,12,4,4,4,12,24,enterprise,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",true,true,false,false,true,true,true,true,true,false,"Communication platform,Transcription,Enterprise","Communication platform,Transcription,Enterprise","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",premium,"$50-$200/month","Enterprises needing communication","Communication platform integration,Enterprise features,Transcription included","Communication platform with transcription",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
read-ai-001,Read.ai,read-ai,https://read.ai,Meeting intelligence with transcription,active,2025-01-15T00:00:00.000Z,2025-01-01T00:00:00.000Z,2025-01-15T00:00:00.000Z,manual,83,mid-tier,alternative,25,emerging,enterprise,technology,3,3,3,9,4,4,3,11,20,subscription,0,0,0,0,0,"English,Spanish,French,German,Italian,Portuguese,Russian,Japanese,Korean,Chinese,Arabic,Hindi","MP3,MP4,WAV,MOV,AVI,MKV,FLAC,AAC,OGG,WebM",true,true,true,true,true,true,true,true,true,true,"Meeting intelligence,AI insights,Transcription","Meeting intelligence,AI insights,Transcription","Zoom,Google Meet,Microsoft Teams,Slack","WordPress,Drupal,Custom","Buffer,Hootsuite,Sprout Social","Google Analytics,Mixpanel,Custom",mid-tier,"$15-$60/month","Enterprises needing insights","Meeting intelligence,AI insights,Transcription included","Meeting intelligence with transcription",false,None,"No program","No program",none,"No program found","No affiliate or partner program found"
